canonical_UniProtAC	gene	domain_edge_bin_compact	cluster_window_start	cluster_window_end	max_sites_in_20aa_span_within_bin	position	architecture_class	site_key	nearest_domain_edge_distance	nearest_domain_side	nearest_domain_class	nearest_interpro_name	signed_domain_edge_distance	domain_side	signed_distance_bin	abs_distance_class
Q5T8P6	RBM26	Domain edge 21-40 aa	855	864	4	855	domain-distal clustered	Q5T8P6:R855	31.0	N_terminal_to_domain	RRM / KH RNA-binding	RBM26-like, RNA recognition motif 2	-31.0	N-terminal side of domain	N 21-40	>20 aa
Q5T8P6	RBM26	Domain edge 21-40 aa	855	864	4	857	domain-distal clustered	Q5T8P6:R857	29.0	N_terminal_to_domain	RRM / KH RNA-binding	RBM26-like, RNA recognition motif 2	-29.0	N-terminal side of domain	N 21-40	>20 aa
Q5T8P6	RBM26	Domain edge 21-40 aa	855	864	4	862	domain-distal clustered	Q5T8P6:R862	24.0	N_terminal_to_domain	RRM / KH RNA-binding	RBM26-like, RNA recognition motif 2	-24.0	N-terminal side of domain	N 21-40	>20 aa
Q5T8P6	RBM26	Domain edge 21-40 aa	855	864	4	864	domain-distal clustered	Q5T8P6:R864	22.0	N_terminal_to_domain	RRM / KH RNA-binding	RBM26-like, RNA recognition motif 2	-22.0	N-terminal side of domain	N 21-40	>20 aa
Q9P0J7	KCMF1	Domain edge 21-40 aa	159	168	4	159	domain-distal clustered	Q9P0J7:R159	22.0	C_terminal_to_domain	Other domain	Di19, zinc-binding domain	22.0	C-terminal side of domain	C 21-40	>20 aa
Q9P0J7	KCMF1	Domain edge 21-40 aa	159	168	4	165	domain-distal clustered	Q9P0J7:R165	28.0	C_terminal_to_domain	Other domain	Di19, zinc-binding domain	28.0	C-terminal side of domain	C 21-40	>20 aa
Q9P0J7	KCMF1	Domain edge 21-40 aa	159	168	4	167	domain-distal clustered	Q9P0J7:R167	30.0	C_terminal_to_domain	Other domain	Di19, zinc-binding domain	30.0	C-terminal side of domain	C 21-40	>20 aa
Q9P0J7	KCMF1	Domain edge 21-40 aa	159	168	4	168	domain-distal clustered	Q9P0J7:R168	31.0	C_terminal_to_domain	Other domain	Di19, zinc-binding domain	31.0	C-terminal side of domain	C 21-40	>20 aa
Q9Y4Z0	LSM4	Domain edge 21-40 aa	102	117	4	102	domain-distal clustered	Q9Y4Z0:R102	25.0	C_terminal_to_domain	Sm / Lsm	Sm-like protein Lsm4	25.0	C-terminal side of domain	C 21-40	>20 aa
Q9Y4Z0	LSM4	Domain edge 21-40 aa	102	117	4	109	domain-distal clustered	Q9Y4Z0:R109	32.0	C_terminal_to_domain	Sm / Lsm	Sm-like protein Lsm4	32.0	C-terminal side of domain	C 21-40	>20 aa
Q9Y4Z0	LSM4	Domain edge 21-40 aa	102	117	4	115	domain-distal clustered	Q9Y4Z0:R115	38.0	C_terminal_to_domain	Sm / Lsm	Sm-like protein Lsm4	38.0	C-terminal side of domain	C 21-40	>20 aa
Q9Y4Z0	LSM4	Domain edge 21-40 aa	102	117	4	117	domain-distal clustered	Q9Y4Z0:R117	40.0	C_terminal_to_domain	Sm / Lsm	Sm-like protein Lsm4	40.0	C-terminal side of domain	C 21-40	>20 aa
Q5VWX1	KHDRBS2	Domain edge 21-40 aa	230	246	3	230	domain-distal clustered	Q5VWX1:R230	37.0	N_terminal_to_domain	Other domain	Sam68, tyrosine-rich domain	-37.0	N-terminal side of domain	N 21-40	>20 aa
Q5VWX1	KHDRBS2	Domain edge 21-40 aa	230	246	3	240	domain-distal clustered	Q5VWX1:R240	27.0	N_terminal_to_domain	Other domain	Sam68, tyrosine-rich domain	-27.0	N-terminal side of domain	N 21-40	>20 aa
Q5VWX1	KHDRBS2	Domain edge 21-40 aa	230	246	3	246	domain-distal clustered	Q5VWX1:R246	21.0	N_terminal_to_domain	Other domain	Sam68, tyrosine-rich domain	-21.0	N-terminal side of domain	N 21-40	>20 aa
P05783	KRT18	Domain edge 21-40 aa	45	55	3	45	domain-distal clustered	P05783:R45	34.0	N_terminal_to_domain	Other domain	Intermediate filament, rod domain	-34.0	N-terminal side of domain	N 21-40	>20 aa
P05783	KRT18	Domain edge 21-40 aa	45	55	3	50	domain-distal clustered	P05783:R50	29.0	N_terminal_to_domain	Other domain	Intermediate filament, rod domain	-29.0	N-terminal side of domain	N 21-40	>20 aa
P05783	KRT18	Domain edge 21-40 aa	45	55	3	55	domain-distal clustered	P05783:R55	24.0	N_terminal_to_domain	Other domain	Intermediate filament, rod domain	-24.0	N-terminal side of domain	N 21-40	>20 aa
O14979	HNRNPDL	Domain edge 21-40 aa	336	340	3	336	domain-distal clustered	O14979:R336	24.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	24.0	C-terminal side of domain	C 21-40	>20 aa
O14979	HNRNPDL	Domain edge 21-40 aa	336	340	3	338	domain-distal clustered	O14979:R338	26.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	26.0	C-terminal side of domain	C 21-40	>20 aa
O14979	HNRNPDL	Domain edge 21-40 aa	336	340	3	340	domain-distal clustered	O14979:R340	28.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	28.0	C-terminal side of domain	C 21-40	>20 aa
O43390	HNRNPR	Domain edge 21-40 aa	441	449	3	441	domain-distal clustered	O43390:R441	30.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	30.0	C-terminal side of domain	C 21-40	>20 aa
O43390	HNRNPR	Domain edge 21-40 aa	441	449	3	447	domain-distal clustered	O43390:R447	36.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	36.0	C-terminal side of domain	C 21-40	>20 aa
O43390	HNRNPR	Domain edge 21-40 aa	441	449	3	449	domain-distal clustered	O43390:R449	38.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	38.0	C-terminal side of domain	C 21-40	>20 aa
O43719	HTATSF1	Domain edge 21-40 aa	380	384	3	380	domain-distal clustered	O43719:R380	31.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	31.0	C-terminal side of domain	C 21-40	>20 aa
O43719	HTATSF1	Domain edge 21-40 aa	380	384	3	383	domain-distal clustered	O43719:R383	34.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	34.0	C-terminal side of domain	C 21-40	>20 aa
O43719	HTATSF1	Domain edge 21-40 aa	380	384	3	384	domain-distal clustered	O43719:R384	35.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	35.0	C-terminal side of domain	C 21-40	>20 aa
O60506	SYNCRIP	Domain edge 21-40 aa	444	448	3	444	domain-distal clustered	O60506:R444	36.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	36.0	C-terminal side of domain	C 21-40	>20 aa
O60506	SYNCRIP	Domain edge 21-40 aa	444	448	3	446	domain-distal clustered	O60506:R446	38.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	38.0	C-terminal side of domain	C 21-40	>20 aa
O60506	SYNCRIP	Domain edge 21-40 aa	444	448	3	448	domain-distal clustered	O60506:R448	40.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	40.0	C-terminal side of domain	C 21-40	>20 aa
P15924	DSP	Domain edge 21-40 aa	2826	2834	3	2826	domain-distal clustered	P15924:R2826	27.0	C_terminal_to_domain	Repeat / superfamily	Plectin repeat	27.0	C-terminal side of domain	C 21-40	>20 aa
P15924	DSP	Domain edge 21-40 aa	2826	2834	3	2830	domain-distal clustered	P15924:R2830	31.0	C_terminal_to_domain	Repeat / superfamily	Plectin repeat	31.0	C-terminal side of domain	C 21-40	>20 aa
P15924	DSP	Domain edge 21-40 aa	2826	2834	3	2834	domain-distal clustered	P15924:R2834	35.0	C_terminal_to_domain	Repeat / superfamily	Plectin repeat	35.0	C-terminal side of domain	C 21-40	>20 aa
P16989	CSDA	Domain edge 21-40 aa	185	190	3	185	broad across IDR	P16989:R185	25.0	C_terminal_to_domain	Other domain	Cold-shock domain	25.0	C-terminal side of domain	C 21-40	>20 aa
P16989	CSDA	Domain edge 21-40 aa	185	190	3	186	broad across IDR	P16989:R186	26.0	C_terminal_to_domain	Other domain	Cold-shock domain	26.0	C-terminal side of domain	C 21-40	>20 aa
P16989	CSDA	Domain edge 21-40 aa	185	190	3	190	broad across IDR	P16989:R190	30.0	C_terminal_to_domain	Other domain	Cold-shock domain	30.0	C-terminal side of domain	C 21-40	>20 aa
P50749	RASSF2	Domain edge 21-40 aa	142	151	3	142	domain-distal clustered	P50749:R142	32.0	N_terminal_to_domain	Other domain	Ras-associating domain	-32.0	N-terminal side of domain	N 21-40	>20 aa
P50749	RASSF2	Domain edge 21-40 aa	142	151	3	144	domain-distal clustered	P50749:R144	30.0	N_terminal_to_domain	Other domain	Ras-associating domain	-30.0	N-terminal side of domain	N 21-40	>20 aa
P50749	RASSF2	Domain edge 21-40 aa	142	151	3	151	domain-distal clustered	P50749:R151	23.0	N_terminal_to_domain	Other domain	Ras-associating domain	-23.0	N-terminal side of domain	N 21-40	>20 aa
P62318	SNRPD3	Domain edge 21-40 aa	110	114	3	110	domain-distal clustered	P62318:R110	33.0	C_terminal_to_domain	Other domain	Sm domain	33.0	C-terminal side of domain	C 21-40	>20 aa
P62318	SNRPD3	Domain edge 21-40 aa	110	114	3	112	domain-distal clustered	P62318:R112	35.0	C_terminal_to_domain	Other domain	Sm domain	35.0	C-terminal side of domain	C 21-40	>20 aa
P62318	SNRPD3	Domain edge 21-40 aa	110	114	3	114	domain-distal clustered	P62318:R114	37.0	C_terminal_to_domain	Other domain	Sm domain	37.0	C-terminal side of domain	C 21-40	>20 aa
P62995	TRA2B	Domain edge 21-40 aa	224	233	3	224	domain-distal clustered	P62995:R224	28.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	28.0	C-terminal side of domain	C 21-40	>20 aa
P62995	TRA2B	Domain edge 21-40 aa	224	233	3	228	domain-distal clustered	P62995:R228	32.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	32.0	C-terminal side of domain	C 21-40	>20 aa
P62995	TRA2B	Domain edge 21-40 aa	224	233	3	233	domain-distal clustered	P62995:R233	37.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	37.0	C-terminal side of domain	C 21-40	>20 aa
P67809	YBX1	Domain edge 21-40 aa	151	156	3	151	domain-distal clustered	P67809:R151	23.0	C_terminal_to_domain	Other domain	Cold-shock domain	23.0	C-terminal side of domain	C 21-40	>20 aa
P67809	YBX1	Domain edge 21-40 aa	151	156	3	152	domain-distal clustered	P67809:R152	24.0	C_terminal_to_domain	Other domain	Cold-shock domain	24.0	C-terminal side of domain	C 21-40	>20 aa
P67809	YBX1	Domain edge 21-40 aa	151	156	3	156	domain-distal clustered	P67809:R156	28.0	C_terminal_to_domain	Other domain	Cold-shock domain	28.0	C-terminal side of domain	C 21-40	>20 aa
Q04637	EIF4G1	Domain edge 21-40 aa	1205	1218	3	1205	domain-distal clustered	Q04637:R1205	36.0	N_terminal_to_domain	Other domain	Initiation factor eIF-4 gamma, MA3	-36.0	N-terminal side of domain	N 21-40	>20 aa
Q04637	EIF4G1	Domain edge 21-40 aa	1205	1218	3	1216	domain-distal clustered	Q04637:R1216	25.0	N_terminal_to_domain	Other domain	Initiation factor eIF-4 gamma, MA3	-25.0	N-terminal side of domain	N 21-40	>20 aa
Q04637	EIF4G1	Domain edge 21-40 aa	1205	1218	3	1218	domain-distal clustered	Q04637:R1218	23.0	N_terminal_to_domain	Other domain	Initiation factor eIF-4 gamma, MA3	-23.0	N-terminal side of domain	N 21-40	>20 aa
Q13151	HNRNPA0	Domain edge 21-40 aa	198	204	3	198	broad across IDR	Q13151:R198	23.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	23.0	C-terminal side of domain	C 21-40	>20 aa
Q13151	HNRNPA0	Domain edge 21-40 aa	198	204	3	200	broad across IDR	Q13151:R200	25.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	25.0	C-terminal side of domain	C 21-40	>20 aa
Q13151	HNRNPA0	Domain edge 21-40 aa	198	204	3	204	broad across IDR	Q13151:R204	29.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	29.0	C-terminal side of domain	C 21-40	>20 aa
Q14498	RBM39	Domain edge 21-40 aa	122	124	3	122	domain-distal clustered	Q14498:R122	31.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-31.0	N-terminal side of domain	N 21-40	>20 aa
Q14498	RBM39	Domain edge 21-40 aa	122	124	3	123	domain-distal clustered	Q14498:R123	30.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-30.0	N-terminal side of domain	N 21-40	>20 aa
Q14498	RBM39	Domain edge 21-40 aa	122	124	3	124	domain-distal clustered	Q14498:R124	29.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-29.0	N-terminal side of domain	N 21-40	>20 aa
Q9UN86	G3BP2	Domain edge 21-40 aa	432	447	3	432	domain-distal clustered	Q9UN86:R432	23.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	23.0	C-terminal side of domain	C 21-40	>20 aa
Q9UN86	G3BP2	Domain edge 21-40 aa	432	447	3	438	domain-distal clustered	Q9UN86:R438	29.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	29.0	C-terminal side of domain	C 21-40	>20 aa
Q9UN86	G3BP2	Domain edge 21-40 aa	432	447	3	447	domain-distal clustered	Q9UN86:R447	38.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	38.0	C-terminal side of domain	C 21-40	>20 aa
Q9Y3Y2	CHTOP	Domain edge 21-40 aa	118	128	3	118	broad across IDR	Q9Y3Y2:R118	39.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-39.0	N-terminal side of domain	N 21-40	>20 aa
Q9Y3Y2	CHTOP	Domain edge 21-40 aa	118	128	3	121	broad across IDR	Q9Y3Y2:R121	36.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-36.0	N-terminal side of domain	N 21-40	>20 aa
Q9Y3Y2	CHTOP	Domain edge 21-40 aa	118	128	3	128	broad across IDR	Q9Y3Y2:R128	29.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-29.0	N-terminal side of domain	N 21-40	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	185	domain-distal clustered	P67809:R185	57.0	C_terminal_to_domain	Other domain	Cold-shock domain	57.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	186	domain-distal clustered	P67809:R186	58.0	C_terminal_to_domain	Other domain	Cold-shock domain	58.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	189	domain-distal clustered	P67809:R189	61.0	C_terminal_to_domain	Other domain	Cold-shock domain	61.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	190	domain-distal clustered	P67809:R190	62.0	C_terminal_to_domain	Other domain	Cold-shock domain	62.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	192	domain-distal clustered	P67809:R192	64.0	C_terminal_to_domain	Other domain	Cold-shock domain	64.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	199	domain-distal clustered	P67809:R199	71.0	C_terminal_to_domain	Other domain	Cold-shock domain	71.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	200	domain-distal clustered	P67809:R200	72.0	C_terminal_to_domain	Other domain	Cold-shock domain	72.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	204	domain-distal clustered	P67809:R204	76.0	C_terminal_to_domain	Other domain	Cold-shock domain	76.0	C-terminal side of domain	C 41-100	>20 aa
P67809	YBX1	Domain-distal >40 aa	185	205	9	205	domain-distal clustered	P67809:R205	77.0	C_terminal_to_domain	Other domain	Cold-shock domain	77.0	C-terminal side of domain	C 41-100	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	326	broad across IDR	P16989:R326	166.0	C_terminal_to_domain	Other domain	Cold-shock domain	166.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	327	broad across IDR	P16989:R327	167.0	C_terminal_to_domain	Other domain	Cold-shock domain	167.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	330	broad across IDR	P16989:R330	170.0	C_terminal_to_domain	Other domain	Cold-shock domain	170.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	331	broad across IDR	P16989:R331	171.0	C_terminal_to_domain	Other domain	Cold-shock domain	171.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	336	broad across IDR	P16989:R336	176.0	C_terminal_to_domain	Other domain	Cold-shock domain	176.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	337	broad across IDR	P16989:R337	177.0	C_terminal_to_domain	Other domain	Cold-shock domain	177.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	338	broad across IDR	P16989:R338	178.0	C_terminal_to_domain	Other domain	Cold-shock domain	178.0	C-terminal side of domain	C 101-200	>20 aa
P16989	CSDA	Domain-distal >40 aa	326	340	8	340	broad across IDR	P16989:R340	180.0	C_terminal_to_domain	Other domain	Cold-shock domain	180.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	570	domain-distal clustered	P49959:R570	109.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	109.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	572	domain-distal clustered	P49959:R572	111.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	111.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	574	domain-distal clustered	P49959:R574	113.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	113.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	576	domain-distal clustered	P49959:R576	115.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	115.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	577	domain-distal clustered	P49959:R577	116.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	116.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	580	domain-distal clustered	P49959:R580	119.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	119.0	C-terminal side of domain	C 101-200	>20 aa
P49959	MRE11	Domain-distal >40 aa	570	587	7	587	domain-distal clustered	P49959:R587	126.0	C_terminal_to_domain	DNA-binding	Mre11, DNA-binding	126.0	C-terminal side of domain	C 101-200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1024	domain-distal clustered	P48634:R1024	836.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	836.0	C-terminal side of domain	C >200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1026	domain-distal clustered	P48634:R1026	838.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	838.0	C-terminal side of domain	C >200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1028	domain-distal clustered	P48634:R1028	840.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	840.0	C-terminal side of domain	C >200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1034	domain-distal clustered	P48634:R1034	846.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	846.0	C-terminal side of domain	C >200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1036	domain-distal clustered	P48634:R1036	848.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	848.0	C-terminal side of domain	C >200	>20 aa
P48634	PRRC2A	Domain-distal >40 aa	1024	1039	6	1039	domain-distal clustered	P48634:R1039	851.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	851.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1342	domain-distal clustered	Q9Y520:R1342	1182.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1182.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1344	domain-distal clustered	Q9Y520:R1344	1184.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1184.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1349	domain-distal clustered	Q9Y520:R1349	1189.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1189.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1350	domain-distal clustered	Q9Y520:R1350	1190.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1190.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1353	domain-distal clustered	Q9Y520:R1353	1193.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1193.0	C-terminal side of domain	C >200	>20 aa
Q9Y520	PRRC2C	Domain-distal >40 aa	1342	1358	6	1358	domain-distal clustered	Q9Y520:R1358	1198.0	C_terminal_to_domain	Other domain	BAT2, N-terminal	1198.0	C-terminal side of domain	C >200	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	258	domain-distal clustered	P61978:R258	44.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	44.0	C-terminal side of domain	C 41-100	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	263	domain-distal clustered	P61978:R263	49.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	49.0	C-terminal side of domain	C 41-100	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	268	domain-distal clustered	P61978:R268	54.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	54.0	C-terminal side of domain	C 41-100	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	271	domain-distal clustered	P61978:R271	57.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	57.0	C-terminal side of domain	C 41-100	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	277	domain-distal clustered	P61978:R277	63.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	63.0	C-terminal side of domain	C 41-100	>20 aa
P61978	HNRNPK	Domain-distal >40 aa	258	278	6	278	domain-distal clustered	P61978:R278	64.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	64.0	C-terminal side of domain	C 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	300	broad across IDR	Q01844:R300	61.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-61.0	N-terminal side of domain	N 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	302	broad across IDR	Q01844:R302	59.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-59.0	N-terminal side of domain	N 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	304	broad across IDR	Q01844:R304	57.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-57.0	N-terminal side of domain	N 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	309	broad across IDR	Q01844:R309	52.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-52.0	N-terminal side of domain	N 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	314	broad across IDR	Q01844:R314	47.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-47.0	N-terminal side of domain	N 41-100	>20 aa
Q01844	EWSR1	Domain-distal >40 aa	300	317	6	317	broad across IDR	Q01844:R317	44.0	N_terminal_to_domain	RRM / KH RNA-binding	EWS, RNA recognition motif	-44.0	N-terminal side of domain	N 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	168	domain-distal clustered	Q14157:R168	68.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	68.0	C-terminal side of domain	C 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	172	domain-distal clustered	Q14157:R172	72.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	72.0	C-terminal side of domain	C 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	174	domain-distal clustered	Q14157:R174	74.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	74.0	C-terminal side of domain	C 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	177	domain-distal clustered	Q14157:R177	77.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	77.0	C-terminal side of domain	C 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	179	domain-distal clustered	Q14157:R179	79.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	79.0	C-terminal side of domain	C 41-100	>20 aa
Q14157	UBAP2L	Domain-distal >40 aa	168	187	6	187	domain-distal clustered	Q14157:R187	87.0	C_terminal_to_domain	Other domain	Ubiquitin-associated protein 2, UBA domain	87.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	166	broad across IDR	Q15056:R166	46.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	46.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	170	broad across IDR	Q15056:R170	50.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	50.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	174	broad across IDR	Q15056:R174	54.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	54.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	175	broad across IDR	Q15056:R175	55.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	55.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	183	broad across IDR	Q15056:R183	63.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	63.0	C-terminal side of domain	C 41-100	>20 aa
Q15056	EIF4H	Domain-distal >40 aa	166	185	6	185	broad across IDR	Q15056:R185	65.0	C_terminal_to_domain	RRM / KH RNA-binding	eIF4H, RNA recognition motif	65.0	C-terminal side of domain	C 41-100	>20 aa
Q9H0D6	XRN2	Domain-distal >40 aa	921	936	6	921	domain-distal clustered	Q9H0D6:R921	135.0	C_terminal_to_domain	Other domain	Xrn1, helical domain	135.0	C-terminal side of domain	C 101-200	>20 aa
Q9H0D6	XRN2	Domain-distal >40 aa	921	936	6	922	domain-distal clustered	Q9H0D6:R922	136.0	C_terminal_to_domain	Other domain	Xrn1, helical domain	136.0	C-terminal side of domain	C 101-200	>20 aa
